Category,Score,Tweet
economics,0.05,@BGPolitics Ever consider the fact that money is imaginary but climate change is real? It puts this proposal in perspective.
money,0.05,"RT @Jordan_Mandell: yeah iâ€™ve been to the year 3000
not much has changed but they lived underwater... because climate change"
cold,0.05,"RT @Jordan_Mandell: yeah iâ€™ve been to the year 3000
not much has changed but they lived underwater... because climate change"
weather,0.05,"RT @Jordan_Mandell: yeah iâ€™ve been to the year 3000
not much has changed but they lived underwater... because climate change"
warmth,0.05,"RT @Jordan_Mandell: yeah iâ€™ve been to the year 3000
not much has changed but they lived underwater... because climate change"
money,0.07142857142857142,RT @Sensiablue: Chicago mayor Emanuel posts EPA’s deleted climate change page https://t.co/MG63GjdLJD via @politico
cold,0.07142857142857142,RT @Sensiablue: Chicago mayor Emanuel posts EPA’s deleted climate change page https://t.co/MG63GjdLJD via @politico
internet,0.07142857142857142,RT @Sensiablue: Chicago mayor Emanuel posts EPA’s deleted climate change page https://t.co/MG63GjdLJD via @politico
reading,0.07142857142857142,RT @Sensiablue: Chicago mayor Emanuel posts EPA’s deleted climate change page https://t.co/MG63GjdLJD via @politico
weather,0.07142857142857142,RT @Sensiablue: Chicago mayor Emanuel posts EPA’s deleted climate change page https://t.co/MG63GjdLJD via @politico
warmth,0.07142857142857142,RT @Sensiablue: Chicago mayor Emanuel posts EPA’s deleted climate change page https://t.co/MG63GjdLJD via @politico
messaging,0.07142857142857142,RT @Sensiablue: Chicago mayor Emanuel posts EPA’s deleted climate change page https://t.co/MG63GjdLJD via @politico
writing,0.07142857142857142,RT @Sensiablue: Chicago mayor Emanuel posts EPA’s deleted climate change page https://t.co/MG63GjdLJD via @politico
money,0.06666666666666667,"RT @prashantrao: Despite its climate change goals, China is pushing to dig more coal https://t.co/LwHYbqCWus"
cold,0.06666666666666667,"RT @prashantrao: Despite its climate change goals, China is pushing to dig more coal https://t.co/LwHYbqCWus"
weather,0.06666666666666667,"RT @prashantrao: Despite its climate change goals, China is pushing to dig more coal https://t.co/LwHYbqCWus"
fire,0.06666666666666667,"RT @prashantrao: Despite its climate change goals, China is pushing to dig more coal https://t.co/LwHYbqCWus"
warmth,0.06666666666666667,"RT @prashantrao: Despite its climate change goals, China is pushing to dig more coal https://t.co/LwHYbqCWus"
money,0.06666666666666667,RT @janosrauhler: climate change is legit a problem why does no one take it seriously
cold,0.06666666666666667,RT @janosrauhler: climate change is legit a problem why does no one take it seriously
hate,0.06666666666666667,RT @janosrauhler: climate change is legit a problem why does no one take it seriously
confusion,0.06666666666666667,RT @janosrauhler: climate change is legit a problem why does no one take it seriously
weather,0.06666666666666667,RT @janosrauhler: climate change is legit a problem why does no one take it seriously
speaking,0.06666666666666667,RT @janosrauhler: climate change is legit a problem why does no one take it seriously
warmth,0.06666666666666667,RT @janosrauhler: climate change is legit a problem why does no one take it seriously
government,0.1111111111111111,"@KarlJKiser And yet to some, global warming doesn't exist"
warmth,0.1111111111111111,"@KarlJKiser And yet to some, global warming doesn't exist"
terrorism,0.1111111111111111,"@KarlJKiser And yet to some, global warming doesn't exist"
cold,0.045454545454545456,RT @USGS: What are sinkholes? What are signs of climate change? You have a question? We have an answer in our FAQs:Ã¢â‚¬Â¦
communication,0.045454545454545456,RT @USGS: What are sinkholes? What are signs of climate change? You have a question? We have an answer in our FAQs:Ã¢â‚¬Â¦
weather,0.045454545454545456,RT @USGS: What are sinkholes? What are signs of climate change? You have a question? We have an answer in our FAQs:Ã¢â‚¬Â¦
speaking,0.045454545454545456,RT @USGS: What are sinkholes? What are signs of climate change? You have a question? We have an answer in our FAQs:Ã¢â‚¬Â¦
phone,0.045454545454545456,RT @USGS: What are sinkholes? What are signs of climate change? You have a question? We have an answer in our FAQs:Ã¢â‚¬Â¦
warmth,0.045454545454545456,RT @USGS: What are sinkholes? What are signs of climate change? You have a question? We have an answer in our FAQs:Ã¢â‚¬Â¦
messaging,0.045454545454545456,RT @USGS: What are sinkholes? What are signs of climate change? You have a question? We have an answer in our FAQs:Ã¢â‚¬Â¦
cold,0.047619047619047616,"RT @umairh: Maybe after two hours of attacking poors, gays, immigrants, and women they$q$ll spend three minutes on climate change, inequality…"
vacation,0.047619047619047616,"RT @umairh: Maybe after two hours of attacking poors, gays, immigrants, and women they$q$ll spend three minutes on climate change, inequality…"
leisure,0.047619047619047616,"RT @umairh: Maybe after two hours of attacking poors, gays, immigrants, and women they$q$ll spend three minutes on climate change, inequality…"
weather,0.047619047619047616,"RT @umairh: Maybe after two hours of attacking poors, gays, immigrants, and women they$q$ll spend three minutes on climate change, inequality…"
fight,0.047619047619047616,"RT @umairh: Maybe after two hours of attacking poors, gays, immigrants, and women they$q$ll spend three minutes on climate change, inequality…"
warmth,0.047619047619047616,"RT @umairh: Maybe after two hours of attacking poors, gays, immigrants, and women they$q$ll spend three minutes on climate change, inequality…"
help,0.045454545454545456,please send him to Venus so he can experience what global warming really is. no walls can protect him there. right… https://t.co/vl1NevcQnT
government,0.045454545454545456,please send him to Venus so he can experience what global warming really is. no walls can protect him there. right… https://t.co/vl1NevcQnT
love,0.045454545454545456,please send him to Venus so he can experience what global warming really is. no walls can protect him there. right… https://t.co/vl1NevcQnT
fight,0.045454545454545456,please send him to Venus so he can experience what global warming really is. no walls can protect him there. right… https://t.co/vl1NevcQnT
warmth,0.045454545454545456,please send him to Venus so he can experience what global warming really is. no walls can protect him there. right… https://t.co/vl1NevcQnT
terrorism,0.045454545454545456,please send him to Venus so he can experience what global warming really is. no walls can protect him there. right… https://t.co/vl1NevcQnT
messaging,0.045454545454545456,please send him to Venus so he can experience what global warming really is. no walls can protect him there. right… https://t.co/vl1NevcQnT
money,0.05555555555555555,The #ParisAgreement enters into force! Learn more about the U.S. goals for climate change at #COP22: https://t.co/CGsXg3IdPx #ActOnClimate
cold,0.05555555555555555,The #ParisAgreement enters into force! Learn more about the U.S. goals for climate change at #COP22: https://t.co/CGsXg3IdPx #ActOnClimate
weather,0.05555555555555555,The #ParisAgreement enters into force! Learn more about the U.S. goals for climate change at #COP22: https://t.co/CGsXg3IdPx #ActOnClimate
warmth,0.05555555555555555,The #ParisAgreement enters into force! Learn more about the U.S. goals for climate change at #COP22: https://t.co/CGsXg3IdPx #ActOnClimate
weather,0.1,RT @granulac: it's cool and sick how in 2017 we're still in the 'frantically providing evidence' stage of climate change
cold,0.1,RT @granulac: it's cool and sick how in 2017 we're still in the 'frantically providing evidence' stage of climate change
money,0.05,RT @granulac: it's cool and sick how in 2017 we're still in the 'frantically providing evidence' stage of climate change
dance,0.05,RT @granulac: it's cool and sick how in 2017 we're still in the 'frantically providing evidence' stage of climate change
medical_emergency,0.05,RT @granulac: it's cool and sick how in 2017 we're still in the 'frantically providing evidence' stage of climate change
health,0.05,RT @granulac: it's cool and sick how in 2017 we're still in the 'frantically providing evidence' stage of climate change
music,0.05,RT @granulac: it's cool and sick how in 2017 we're still in the 'frantically providing evidence' stage of climate change
warmth,0.05,RT @granulac: it's cool and sick how in 2017 we're still in the 'frantically providing evidence' stage of climate change
pain,0.05,RT @granulac: it's cool and sick how in 2017 we're still in the 'frantically providing evidence' stage of climate change
negative_emotion,0.05,RT @granulac: it's cool and sick how in 2017 we're still in the 'frantically providing evidence' stage of climate change
money,0.09090909090909091,"China’s coal use drops, showing commitment to climate change Experts https://t.co/CEImKEXKiT"
wedding,0.09090909090909091,"China’s coal use drops, showing commitment to climate change Experts https://t.co/CEImKEXKiT"
cold,0.09090909090909091,"China’s coal use drops, showing commitment to climate change Experts https://t.co/CEImKEXKiT"
love,0.09090909090909091,"China’s coal use drops, showing commitment to climate change Experts https://t.co/CEImKEXKiT"
weather,0.09090909090909091,"China’s coal use drops, showing commitment to climate change Experts https://t.co/CEImKEXKiT"
trust,0.09090909090909091,"China’s coal use drops, showing commitment to climate change Experts https://t.co/CEImKEXKiT"
fire,0.09090909090909091,"China’s coal use drops, showing commitment to climate change Experts https://t.co/CEImKEXKiT"
